circRNA,RBP,query_gene
14_36987172_36988292|NKX2-1,SRSF2,NKX2-1
14_36987172_36988292|NKX2-1,SRSF7,NKX2-1
14_36987172_36988292|NKX2-1,ZC3H10,NKX2-1
14_39649801_39649952|PNN,ANKHD1,PNN
14_39649801_39649952|PNN,HNRNPA2B1,PNN
14_39649801_39649952|PNN,HNRNPH1,PNN
14_39649801_39649952|PNN,PABPC5,PNN
14_39649801_39649952|PNN,PABPN1,PNN
14_39649801_39649952|PNN,RBM5,PNN
14_39649801_39649952|PNN,SRSF1,PNN
14_39649801_39649952|PNN,SRSF2,PNN
14_39649801_39649952|PNN,TRA2A,PNN
14_39649801_39649952|PNN,TRA2B,PNN
14_39649801_39649952|PNN,YBX2,PNN
14_39649861_39650002|PNN,FMR1,PNN
14_39649861_39650002|PNN,FXR2,PNN
14_39649861_39650002|PNN,HNRNPH1,PNN
14_39649861_39650002|PNN,HNRNPH2,PNN
14_39649861_39650002|PNN,HNRNPL,PNN
14_39649861_39650002|PNN,IGF2BP2,PNN
14_39649861_39650002|PNN,IGF2BP3,PNN
14_39649861_39650002|PNN,KHDRBS1,PNN
14_39649861_39650002|PNN,KHDRBS2,PNN
14_39649861_39650002|PNN,KHDRBS3,PNN
14_39649861_39650002|PNN,LIN28A,PNN
14_39649861_39650002|PNN,PABPC1,PNN
14_39649861_39650002|PNN,PABPC3,PNN
14_39649861_39650002|PNN,PABPC4,PNN
14_39649861_39650002|PNN,PABPC5,PNN
14_39649861_39650002|PNN,PABPN1,PNN
14_39649861_39650002|PNN,RBM28,PNN
14_39649861_39650002|PNN,RBM5,PNN
14_39649861_39650002|PNN,SART3,PNN
14_39649861_39650002|PNN,SRSF1,PNN
14_39649861_39650002|PNN,SRSF2,PNN
14_39649861_39650002|PNN,SRSF7,PNN
14_39649861_39650002|PNN,SRSF9,PNN
14_39649861_39650002|PNN,TRA2A,PNN
14_39649861_39650002|PNN,TRA2B,PNN
14_39649861_39650002|PNN,YBX1,PNN
14_39649861_39650002|PNN,YBX2,PNN
14_39649876_39650125|PNN,A1CF,PNN
14_39649876_39650125|PNN,FMR1,PNN
14_39649876_39650125|PNN,FXR1,PNN
14_39649876_39650125|PNN,FXR2,PNN
14_39649876_39650125|PNN,G3BP2,PNN
14_39649876_39650125|PNN,HNRNPA1,PNN
14_39649876_39650125|PNN,MSI1,PNN
14_39649876_39650125|PNN,RBMS1,PNN
14_39649876_39650125|PNN,SRSF1,PNN
14_39649876_39650125|PNN,SRSF7,PNN
14_39649876_39650125|PNN,SRSF9,PNN
14_39649876_39650125|PNN,TRA2B,PNN
14_39649880_39650026|PNN,G3BP2,PNN
14_39649880_39650026|PNN,HNRNPA1,PNN
14_39649880_39650026|PNN,HNRNPH1,PNN
14_39649880_39650026|PNN,HNRNPH2,PNN
14_39649880_39650026|PNN,LIN28A,PNN
14_39649880_39650026|PNN,MSI1,PNN
14_39649880_39650026|PNN,PABPC5,PNN
14_39649880_39650026|PNN,RBM5,PNN
14_39649880_39650026|PNN,RBMS1,PNN
14_39649880_39650026|PNN,RBMS3,PNN
14_39649880_39650026|PNN,SRSF1,PNN
14_39649880_39650026|PNN,SRSF2,PNN
14_39649880_39650026|PNN,SRSF7,PNN
14_39649880_39650026|PNN,SRSF9,PNN
14_39649880_39650026|PNN,TRA2A,PNN
14_39649880_39650026|PNN,TRA2B,PNN
14_39649880_39650107|PNN,G3BP2,PNN
14_39649880_39650107|PNN,HNRNPA1,PNN
14_39649880_39650107|PNN,HNRNPF,PNN
14_39649880_39650107|PNN,IGF2BP2,PNN
14_39649880_39650107|PNN,MSI1,PNN
14_39649880_39650107|PNN,RBMS1,PNN
14_39649880_39650107|PNN,RBMS3,PNN
14_39649880_39650107|PNN,SRSF1,PNN
14_39649880_39650107|PNN,SRSF3,PNN
14_39649880_39650107|PNN,SRSF7,PNN
14_39649880_39650107|PNN,TRA2A,PNN
14_39649880_39650107|PNN,TRA2B,PNN
14_39649880_39650107|PNN,YBX1,PNN
14_39649880_39650125|PNN,A1CF,PNN
14_39649880_39650125|PNN,G3BP2,PNN
14_39649880_39650125|PNN,HNRNPA1,PNN
14_39649880_39650125|PNN,LIN28A,PNN
14_39649880_39650125|PNN,MSI1,PNN
14_39649880_39650125|PNN,RBMS1,PNN
14_39649880_39650125|PNN,RBMS3,PNN
14_39649880_39650125|PNN,SRSF1,PNN
14_39649880_39650125|PNN,SRSF7,PNN
14_39649880_39650125|PNN,TRA2A,PNN
14_39649880_39650125|PNN,TRA2B,PNN
14_39649919_39650125|PNN,FMR1,PNN
14_39649919_39650125|PNN,FXR2,PNN
14_39649919_39650125|PNN,G3BP2,PNN
14_39649919_39650125|PNN,HNRNPA2B1,PNN
14_39649919_39650125|PNN,HNRNPH1,PNN
14_39649919_39650125|PNN,LIN28A,PNN
14_39649919_39650125|PNN,PABPC1,PNN
14_39649919_39650125|PNN,PABPC5,PNN
14_39649919_39650125|PNN,PABPN1,PNN
14_39649919_39650125|PNN,PUM2,PNN
14_39649919_39650125|PNN,RBM5,PNN
14_39649919_39650125|PNN,SART3,PNN
14_39649919_39650125|PNN,SRSF1,PNN
14_39649919_39650125|PNN,SRSF2,PNN
14_39649919_39650125|PNN,SRSF7,PNN
14_39649919_39650125|PNN,SRSF9,PNN
14_39649919_39650125|PNN,TRA2A,PNN
14_39649919_39650125|PNN,TRA2B,PNN
14_39649921_39650026|PNN,ANKHD1,PNN
14_39649921_39650026|PNN,FMR1,PNN
14_39649921_39650026|PNN,FXR2,PNN
14_39649921_39650026|PNN,G3BP2,PNN
14_39649921_39650026|PNN,HNRNPA1,PNN
14_39649921_39650026|PNN,HNRNPA1L2,PNN
14_39649921_39650026|PNN,HNRNPA2B1,PNN
14_39649921_39650026|PNN,HNRNPH1,PNN
14_39649921_39650026|PNN,HNRNPH2,PNN
14_39649921_39650026|PNN,LIN28A,PNN
14_39649921_39650026|PNN,PABPC1,PNN
14_39649921_39650026|PNN,PABPC5,PNN
14_39649921_39650026|PNN,PABPN1,PNN
14_39649921_39650026|PNN,PUM2,PNN
14_39649921_39650026|PNN,RBM5,PNN
14_39649921_39650026|PNN,SART3,PNN
14_39649921_39650026|PNN,SRSF1,PNN
14_39649921_39650026|PNN,SRSF2,PNN
14_39649921_39650026|PNN,SRSF7,PNN
14_39649921_39650026|PNN,SRSF9,PNN
14_39649921_39650026|PNN,TRA2A,PNN
14_39649921_39650026|PNN,TRA2B,PNN
14_39649927_39650125|PNN,HNRNPA1,PNN
14_39649927_39650125|PNN,HNRNPA1L2,PNN
14_39649927_39650125|PNN,HNRNPA2B1,PNN
14_39649927_39650125|PNN,PABPC5,PNN
14_39649927_39650125|PNN,PUM2,PNN
14_39649927_39650125|PNN,RBM5,PNN
14_39649927_39650125|PNN,SRSF1,PNN
14_39649927_39650125|PNN,TRA2A,PNN
14_39649927_39650125|PNN,TRA2B,PNN
14_39649975_39650125|PNN,DAZAP1,PNN
14_39649975_39650125|PNN,G3BP2,PNN
14_39649975_39650125|PNN,HNRNPH1,PNN
14_39649975_39650125|PNN,HNRNPH2,PNN
14_39649975_39650125|PNN,HNRNPL,PNN
14_39649975_39650125|PNN,IGF2BP2,PNN
14_39649975_39650125|PNN,IGF2BP3,PNN
14_39649975_39650125|PNN,LIN28A,PNN
14_39649975_39650125|PNN,PABPC1,PNN
14_39649975_39650125|PNN,PABPC3,PNN
14_39649975_39650125|PNN,PABPC4,PNN
14_39649975_39650125|PNN,PABPC5,PNN
14_39649975_39650125|PNN,PABPN1,PNN
14_39649975_39650125|PNN,RBM5,PNN
14_39649975_39650125|PNN,SART3,PNN
14_39649975_39650125|PNN,SRSF1,PNN
14_39649975_39650125|PNN,SRSF2,PNN
14_39649975_39650125|PNN,SRSF7,PNN
14_39649975_39650125|PNN,SRSF9,PNN
14_39649975_39650125|PNN,TRA2A,PNN
14_39649975_39650125|PNN,TRA2B,PNN
14_39649975_39650125|PNN,YBX1,PNN
14_39649975_39650125|PNN,YBX2,PNN
14_39649978_39650125|PNN,FMR1,PNN
14_39649978_39650125|PNN,G3BP2,PNN
14_39649978_39650125|PNN,HNRNPA2B1,PNN
14_39649978_39650125|PNN,HNRNPH2,PNN
14_39649978_39650125|PNN,HNRNPL,PNN
14_39649978_39650125|PNN,IGF2BP2,PNN
14_39649978_39650125|PNN,IGF2BP3,PNN
14_39649978_39650125|PNN,LIN28A,PNN
14_39649978_39650125|PNN,PABPC1,PNN
14_39649978_39650125|PNN,PABPC3,PNN
14_39649978_39650125|PNN,PABPC4,PNN
14_39649978_39650125|PNN,PABPC5,PNN
14_39649978_39650125|PNN,PABPN1,PNN
14_39649978_39650125|PNN,RBM5,PNN
14_39649978_39650125|PNN,SART3,PNN
14_39649978_39650125|PNN,SRSF1,PNN
14_39649978_39650125|PNN,SRSF2,PNN
14_39649978_39650125|PNN,SRSF7,PNN
14_39649978_39650125|PNN,SRSF9,PNN
14_39649978_39650125|PNN,TRA2A,PNN
14_39649978_39650125|PNN,TRA2B,PNN
14_39649978_39650125|PNN,YBX1,PNN
14_39649978_39650125|PNN,YBX2,PNN
14_39650017_39650125|PNN,CUG-BP,PNN
14_39650017_39650125|PNN,HNRNPA1,PNN
14_39650017_39650125|PNN,HNRNPA1L2,PNN
14_39650017_39650125|PNN,HNRNPA2B1,PNN
14_39650017_39650125|PNN,RBM42,PNN
14_39650017_39650125|PNN,RBM5,PNN
14_39650017_39650125|PNN,SRSF10,PNN
14_39650017_39650125|PNN,SRSF7,PNN
14_39650017_39650125|PNN,SRSF9,PNN
14_39650017_39650125|PNN,TRA2A,PNN
14_39650017_39650125|PNN,TRA2B,PNN
14_39651005_39651173|PNN,CNOT4,PNN
14_39651005_39651173|PNN,CUG-BP,PNN
14_39651005_39651173|PNN,MBNL1,PNN
14_39651005_39651173|PNN,PABPC4,PNN
14_39651005_39651173|PNN,PABPN1,PNN
14_39651005_39651173|PNN,PTBP1,PNN
14_39651005_39651173|PNN,RBFOX1,PNN
14_39651005_39651173|PNN,SRSF1,PNN
14_39651005_39651173|PNN,SRSF10,PNN
14_39651005_39651173|PNN,SRSF2,PNN
14_39651005_39651173|PNN,SRSF3,PNN
14_39651005_39651173|PNN,TRA2B,PNN
14_42236056_42236232|LRFN5,MBNL1,LRFN5
14_42236056_42236232|LRFN5,PTBP1,LRFN5
14_42236056_42236232|LRFN5,RBM28,LRFN5
14_42236056_42236232|LRFN5,RBM45,LRFN5
14_42236056_42236232|LRFN5,RBM6,LRFN5
14_42236056_42236232|LRFN5,SRSF3,LRFN5
14_42236056_42236232|LRFN5,SRSF5,LRFN5
14_42236056_42236232|LRFN5,TRA2B,LRFN5
14_51204857_51205004|NIN,CUG-BP,NIN
14_51204857_51205004|NIN,ENOX1,NIN
14_51204857_51205004|NIN,HNRNPA1,NIN
14_51204857_51205004|NIN,MATR3,NIN
14_51204857_51205004|NIN,PTBP1,NIN
14_51204857_51205004|NIN,RBM5,NIN
14_51204857_51205004|NIN,SRSF1,NIN
14_51204857_51205004|NIN,SRSF3,NIN
14_51204857_51205004|NIN,SRSF5,NIN
14_51204857_51205004|NIN,YBX2,NIN
14_51204857_51205004|NIN,ZNF638,NIN
14_51398390_51401882|PYGL,ANKHD1,PYGL
14_51398390_51401882|PYGL,CUG-BP,PYGL
14_51398390_51401882|PYGL,G3BP2,PYGL
14_51398390_51401882|PYGL,HNRNPH1,PYGL
14_51398390_51401882|PYGL,LIN28A,PYGL
14_51398390_51401882|PYGL,MBNL1,PYGL
14_51398390_51401882|PYGL,PABPC1,PYGL
14_51398390_51401882|PYGL,PABPC5,PYGL
14_51398390_51401882|PYGL,PABPN1,PYGL
14_51398390_51401882|PYGL,RBM45,PYGL
14_51398390_51401882|PYGL,RBM5,PYGL
14_51398390_51401882|PYGL,SAMD4A,PYGL
14_51398390_51401882|PYGL,SART3,PYGL
14_51398390_51401882|PYGL,SRSF1,PYGL
14_51398390_51401882|PYGL,SRSF9,PYGL
14_51398390_51401882|PYGL,TRA2A,PYGL
14_51398390_51401882|PYGL,TRA2B,PYGL
14_51716212_51721085|TMX1,BRUNOL4,TMX1
14_51716212_51721085|TMX1,BRUNOL5,TMX1
14_51716212_51721085|TMX1,BRUNOL6,TMX1
14_51716212_51721085|TMX1,HNRNPC,TMX1
14_51716212_51721085|TMX1,HNRNPCL1,TMX1
14_51716212_51721085|TMX1,HNRNPU,TMX1
14_51716212_51721085|TMX1,MBNL1,TMX1
14_51716212_51721085|TMX1,PABPC3,TMX1
14_51716212_51721085|TMX1,PABPC5,TMX1
14_51716212_51721085|TMX1,PTBP1,TMX1
14_51716212_51721085|TMX1,RBM24,TMX1
14_51716212_51721085|TMX1,RBM38,TMX1
14_51716212_51721085|TMX1,RBMS1,TMX1
14_51716212_51721085|TMX1,SRSF3,TMX1
14_51716212_51721085|TMX1,SRSF7,TMX1
14_51716212_51721085|TMX1,TARDBP,TMX1
14_51716212_51721085|TMX1,TRA2B,TMX1
14_51716212_51721085|TMX1,ZCRB1,TMX1
14_53245010_53245176|GNPNAT1,A1CF,GNPNAT1
14_53245010_53245176|GNPNAT1,HuR,GNPNAT1
14_53245010_53245176|GNPNAT1,KHDRBS1,GNPNAT1
14_53245010_53245176|GNPNAT1,KHDRBS2,GNPNAT1
14_53245010_53245176|GNPNAT1,KHDRBS3,GNPNAT1
14_53245010_53245176|GNPNAT1,MATR3,GNPNAT1
14_53245010_53245176|GNPNAT1,PABPC1,GNPNAT1
14_53245010_53245176|GNPNAT1,PABPC3,GNPNAT1
14_53245010_53245176|GNPNAT1,PABPC4,GNPNAT1
14_53245010_53245176|GNPNAT1,PABPC5,GNPNAT1
14_53245010_53245176|GNPNAT1,PTBP1,GNPNAT1
14_53245010_53245176|GNPNAT1,PUM2,GNPNAT1
14_53245010_53245176|GNPNAT1,QKI,GNPNAT1
14_53245010_53245176|GNPNAT1,RBM42,GNPNAT1
14_53245010_53245176|GNPNAT1,SART3,GNPNAT1
14_53245010_53245176|GNPNAT1,SNRNP70,GNPNAT1
14_53245010_53245176|GNPNAT1,SRSF3,GNPNAT1
14_53245010_53245176|GNPNAT1,TRA2B,GNPNAT1
14_53245010_53245176|GNPNAT1,ZC3H14,GNPNAT1
14_55168779_55169298|SAMD4A,FMR1,SAMD4A
14_55168779_55169298|SAMD4A,HNRNPL,SAMD4A
14_55168779_55169298|SAMD4A,QKI,SAMD4A
14_55168779_55169298|SAMD4A,RBM42,SAMD4A
14_55168779_55169298|SAMD4A,RBM46,SAMD4A
14_55168779_55169298|SAMD4A,SNRNP70,SAMD4A
14_55168779_55169298|SAMD4A,SRSF3,SAMD4A
14_55168779_55169298|SAMD4A,SRSF5,SAMD4A
14_55168779_55169298|SAMD4A,SRSF7,SAMD4A
14_55168779_55169298|SAMD4A,YBX1,SAMD4A
14_55529672_55529807|MAPK1IP1L,HNRNPH2,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,HNRNPK,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,PCBP1,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,PCBP2,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,PCBP3,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,RBM6,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,SRSF2,MAPK1IP1L
14_55529672_55529807|MAPK1IP1L,SRSF3,MAPK1IP1L
14_55647930_55649150|DLGAP5,CNOT4,DLGAP5
14_55647930_55649150|DLGAP5,HNRNPL,DLGAP5
14_55647930_55649150|DLGAP5,HNRPLL,DLGAP5
14_55647930_55649150|DLGAP5,IGF2BP2,DLGAP5
14_55647930_55649150|DLGAP5,IGF2BP3,DLGAP5
14_55647930_55649150|DLGAP5,KHDRBS1,DLGAP5
14_55647930_55649150|DLGAP5,KHDRBS2,DLGAP5
14_55647930_55649150|DLGAP5,KHDRBS3,DLGAP5
14_55647930_55649150|DLGAP5,PABPC1,DLGAP5
14_55647930_55649150|DLGAP5,PABPC3,DLGAP5
14_55647930_55649150|DLGAP5,PABPC4,DLGAP5
14_55647930_55649150|DLGAP5,PABPC5,DLGAP5
14_55647930_55649150|DLGAP5,PABPN1,DLGAP5
14_55647930_55649150|DLGAP5,PTBP1,DLGAP5
14_55647930_55649150|DLGAP5,RBM42,DLGAP5
14_55647930_55649150|DLGAP5,SART3,DLGAP5
14_55647930_55649150|DLGAP5,SRSF10,DLGAP5
14_55647930_55649150|DLGAP5,SRSF3,DLGAP5
14_55647930_55649150|DLGAP5,SRSF5,DLGAP5
14_55647930_55649150|DLGAP5,TRA2B,DLGAP5
14_56119734_56122850|KTN1,HNRNPL,KTN1
14_56119734_56122850|KTN1,KHDRBS1,KTN1
14_56119734_56122850|KTN1,KHDRBS2,KTN1
14_56119734_56122850|KTN1,KHDRBS3,KTN1
14_56119734_56122850|KTN1,MATR3,KTN1
14_56119734_56122850|KTN1,PABPC1,KTN1
14_56119734_56122850|KTN1,PABPC3,KTN1
14_56119734_56122850|KTN1,PABPC4,KTN1
14_56119734_56122850|KTN1,PABPC5,KTN1
14_56119734_56122850|KTN1,PABPN1,KTN1
14_56119734_56122850|KTN1,PTBP1,KTN1
14_56119734_56122850|KTN1,SART3,KTN1
14_56119734_56122850|KTN1,SRSF3,KTN1
14_56119734_56122850|KTN1,SRSF5,KTN1
14_56119734_56122850|KTN1,TRA2A,KTN1
14_56119734_56122850|KTN1,TRA2B,KTN1
14_56119734_56122850|KTN1,YBX1,KTN1
14_56138283_56138565|KTN1,ANKHD1,KTN1
14_56138283_56138565|KTN1,CUG-BP,KTN1
14_56138283_56138565|KTN1,HNRNPA1,KTN1
14_56138283_56138565|KTN1,HNRNPA1L2,KTN1
14_56138283_56138565|KTN1,HNRNPH1,KTN1
14_56138283_56138565|KTN1,KHDRBS2,KTN1
14_56138283_56138565|KTN1,KHDRBS3,KTN1
14_56138283_56138565|KTN1,PABPC1,KTN1
14_56138283_56138565|KTN1,PABPC4,KTN1
14_56138283_56138565|KTN1,PABPC5,KTN1
14_56138283_56138565|KTN1,PABPN1,KTN1
14_56138283_56138565|KTN1,RBM5,KTN1
14_56138283_56138565|KTN1,SART3,KTN1
14_56138283_56138565|KTN1,SNRNP70,KTN1
14_56138283_56138565|KTN1,SRSF1,KTN1
14_56138283_56138565|KTN1,SRSF10,KTN1
14_56138283_56138565|KTN1,SRSF7,KTN1
14_56138283_56138565|KTN1,TRA2B,KTN1
14_56138283_56138565|KTN1,ZCRB1,KTN1
14_58732407_58732587|PSMA3-AS1,CPEB2,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,CPEB4,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,HNRNPC,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,HNRNPCL1,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,HNRNPM,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,HuR,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,MATR3,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,MBNL1,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,MSI1,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,PTBP1,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,PUM2,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,RALY,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,RBM41,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,SRSF3,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,SRSF5,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,TIA1,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,U2AF2,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,ZC3H14,PSMA3-AS1
14_58732407_58732587|PSMA3-AS1,ZNF638,PSMA3-AS1
14_61923932_61924037|PRKCH,DAZAP1,PRKCH
14_61923932_61924037|PRKCH,ESRP2,PRKCH
14_61923932_61924037|PRKCH,HNRNPA1,PRKCH
14_61923932_61924037|PRKCH,HNRNPA1L2,PRKCH
14_61923932_61924037|PRKCH,HNRNPA2B1,PRKCH
14_61923932_61924037|PRKCH,HNRNPF,PRKCH
14_61923932_61924037|PRKCH,HNRNPH1,PRKCH
14_61923932_61924037|PRKCH,HNRNPH2,PRKCH
14_61923932_61924037|PRKCH,LIN28A,PRKCH
14_61923932_61924037|PRKCH,PABPN1,PRKCH
14_61923932_61924037|PRKCH,RBM5,PRKCH
14_61923932_61924037|PRKCH,SRSF1,PRKCH
14_61923932_61924037|PRKCH,SRSF10,PRKCH
14_61923932_61924037|PRKCH,SRSF2,PRKCH
14_61923932_61924037|PRKCH,SRSF7,PRKCH
14_61923932_61924037|PRKCH,SRSF9,PRKCH
14_61923932_61924037|PRKCH,TIA1,PRKCH
14_61923932_61924037|PRKCH,TRA2A,PRKCH
14_61923932_61924037|PRKCH,TRA2B,PRKCH
14_62117679_62117735|FLJ22447,FXR1,FLJ22447
14_62117679_62117735|FLJ22447,HNRNPH1,FLJ22447
14_62117679_62117735|FLJ22447,HNRNPU,FLJ22447
14_62117679_62117735|FLJ22447,KHDRBS3,FLJ22447
14_62117679_62117735|FLJ22447,LIN28A,FLJ22447
14_62117679_62117735|FLJ22447,PABPN1,FLJ22447
14_62117679_62117735|FLJ22447,SRSF1,FLJ22447
14_62117679_62117735|FLJ22447,SRSF10,FLJ22447
14_62117679_62117735|FLJ22447,TRA2A,FLJ22447
14_62207761_62207906|HIF1A,MBNL1,HIF1A
14_62207761_62207906|HIF1A,NOVA1,HIF1A
14_62207761_62207906|HIF1A,RBM42,HIF1A
14_62207761_62207906|HIF1A,RBM46,HIF1A
14_62207761_62207906|HIF1A,SRSF3,HIF1A
14_62207761_62207906|HIF1A,SRSF5,HIF1A
14_62207761_62207906|HIF1A,SRSF7,HIF1A
14_62207761_62207906|HIF1A,TUT1,HIF1A
14_62207761_62207906|HIF1A,YBX1,HIF1A
14_62207761_62207906|HIF1A,YBX2,HIF1A
14_64682965_64685230|SYNE2,ENOX1,SYNE2
14_64682965_64685230|SYNE2,NOVA1,SYNE2
14_64682965_64685230|SYNE2,SRSF3,SYNE2
14_64682965_64685230|SYNE2,SRSF5,SYNE2
14_64689918_64690020|SYNE2,CUG-BP,SYNE2
14_64689918_64690020|SYNE2,HNRNPH1,SYNE2
14_64689918_64690020|SYNE2,LIN28A,SYNE2
14_64689918_64690020|SYNE2,PABPC1,SYNE2
14_64689918_64690020|SYNE2,PABPC4,SYNE2
14_64689918_64690020|SYNE2,PABPC5,SYNE2
14_64689918_64690020|SYNE2,PABPN1,SYNE2
14_64689918_64690020|SYNE2,RBM45,SYNE2
14_64689918_64690020|SYNE2,RBM5,SYNE2
14_64689918_64690020|SYNE2,SART3,SYNE2
14_64689918_64690020|SYNE2,SNRNP70,SYNE2
14_64689918_64690020|SYNE2,SRSF1,SYNE2
14_64689918_64690020|SYNE2,SRSF10,SYNE2
14_64689918_64690020|SYNE2,SRSF3,SYNE2
14_64689918_64690020|SYNE2,SRSF5,SYNE2
14_64689918_64690020|SYNE2,SRSF7,SYNE2
14_64689918_64690020|SYNE2,TRA2A,SYNE2
14_64689918_64690020|SYNE2,TRA2B,SYNE2
14_64689918_64690020|SYNE2,YBX1,SYNE2
14_64689918_64690020|SYNE2,ZCRB1,SYNE2
14_66028054_66028484|FUT8,ENOX1,FUT8
14_66028054_66028484|FUT8,FXR1,FUT8
14_66028054_66028484|FUT8,HNRNPL,FUT8
14_66028054_66028484|FUT8,PTBP1,FUT8
14_66028054_66028484|FUT8,RBFOX1,FUT8
14_66028054_66028484|FUT8,SRSF3,FUT8
14_66028054_66028484|FUT8,SRSF5,FUT8
14_66028054_66028484|FUT8,SRSF7,FUT8
14_67851258_67851405|EIF2S1,A1CF,EIF2S1
14_67851258_67851405|EIF2S1,BRUNOL4,EIF2S1
14_67851258_67851405|EIF2S1,BRUNOL5,EIF2S1
14_67851258_67851405|EIF2S1,BRUNOL6,EIF2S1
14_67851258_67851405|EIF2S1,CPEB4,EIF2S1
14_67851258_67851405|EIF2S1,DAZAP1,EIF2S1
14_67851258_67851405|EIF2S1,HNRNPA1,EIF2S1
14_67851258_67851405|EIF2S1,HNRNPA2B1,EIF2S1
14_67851258_67851405|EIF2S1,HNRNPC,EIF2S1
14_67851258_67851405|EIF2S1,HNRNPCL1,EIF2S1
14_67851258_67851405|EIF2S1,HNRNPM,EIF2S1
14_67851258_67851405|EIF2S1,HuR,EIF2S1
14_67851258_67851405|EIF2S1,MSI1,EIF2S1
14_67851258_67851405|EIF2S1,PUM2,EIF2S1
14_67851258_67851405|EIF2S1,RALY,EIF2S1
14_67851258_67851405|EIF2S1,RBM24,EIF2S1
14_67851258_67851405|EIF2S1,RBM38,EIF2S1
14_67851258_67851405|EIF2S1,RBM41,EIF2S1
14_67851258_67851405|EIF2S1,RBMS1,EIF2S1
14_67851258_67851405|EIF2S1,RBMS3,EIF2S1
14_67851258_67851405|EIF2S1,SAMD4A,EIF2S1
14_67851258_67851405|EIF2S1,SFPQ,EIF2S1
14_67851258_67851405|EIF2S1,TARDBP,EIF2S1
14_67851258_67851405|EIF2S1,TRA2B,EIF2S1
14_67851258_67851405|EIF2S1,U2AF2,EIF2S1
14_67851258_67851405|EIF2S1,ZC3H14,EIF2S1
14_67851258_67851405|EIF2S1,ZCRB1,EIF2S1
14_69256307_69256442|ZFP36L1,MBNL1,ZFP36L1
14_69256307_69256442|ZFP36L1,NOVA1,ZFP36L1
14_69256307_69256442|ZFP36L1,PCBP1,ZFP36L1
14_69256307_69256442|ZFP36L1,PCBP2,ZFP36L1
14_69256307_69256442|ZFP36L1,PCBP3,ZFP36L1
14_69256307_69256442|ZFP36L1,PTBP1,ZFP36L1
14_69256307_69256442|ZFP36L1,SRSF3,ZFP36L1
14_69256307_69256442|ZFP36L1,SRSF5,ZFP36L1
14_69258172_69258474|ZFP36L1,HNRNPK,ZFP36L1
14_69258172_69258474|ZFP36L1,MBNL1,ZFP36L1
14_69258172_69258474|ZFP36L1,PCBP1,ZFP36L1
14_69258172_69258474|ZFP36L1,PCBP3,ZFP36L1
14_69258172_69258474|ZFP36L1,SRSF2,ZFP36L1
14_69258172_69258474|ZFP36L1,SRSF3,ZFP36L1
14_69258172_69258474|ZFP36L1,ZC3H10,ZFP36L1
14_69341612_69341723|ACTN1,CUG-BP,ACTN1
14_69341612_69341723|ACTN1,FUS,ACTN1
14_69341612_69341723|ACTN1,FXR2,ACTN1
14_69341612_69341723|ACTN1,MBNL1,ACTN1
14_69341612_69341723|ACTN1,PPRC1,ACTN1
14_69341612_69341723|ACTN1,RBM45,ACTN1
14_69341612_69341723|ACTN1,RBM8A,ACTN1
14_69341612_69341723|ACTN1,SRSF2,ACTN1
14_69341612_69341723|ACTN1,SRSF3,ACTN1
14_69341612_69341723|ACTN1,SRSF5,ACTN1
14_69341612_69341723|ACTN1,SRSF7,ACTN1
14_69371371_69378959|ACTN1,CUG-BP,ACTN1
14_69371371_69378959|ACTN1,ESRP2,ACTN1
14_69371371_69378959|ACTN1,G3BP2,ACTN1
14_69371371_69378959|ACTN1,HNRNPF,ACTN1
14_69371371_69378959|ACTN1,HNRNPU,ACTN1
14_69371371_69378959|ACTN1,PABPN1,ACTN1
14_69371371_69378959|ACTN1,RBM5,ACTN1
14_69371371_69378959|ACTN1,SRSF1,ACTN1
14_69371371_69378959|ACTN1,SRSF9,ACTN1
14_69371371_69378959|ACTN1,TRA2A,ACTN1
14_69387722_69445803|ACTN1,ANKHD1,ACTN1
14_69387722_69445803|ACTN1,FUS,ACTN1
14_69387722_69445803|ACTN1,PPRC1,ACTN1
14_69387722_69445803|ACTN1,RBM4,ACTN1
14_69387722_69445803|ACTN1,RBM46,ACTN1
